"concept","word","preference"
"Drought Avoidance","especially","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","seasons","Preferred"
"Nutritious","highly","Preferred"
"Nutritious","nutritive","Preferred"
"Nutritious","nutritious","Preferred"
"Drought Avoidance","intercrop","Preferred"
"Drought Avoidance","another","Preferred"
"Drought Avoidance","crop","Preferred"
"Resilient","tolerance","Preferred"
"Resilient","disease","Preferred"
"Resilient","drought","Preferred"
"Resilient","resistant","Preferred"
"Feed & Fodder","food","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","livestock","Preferred"
"Drought Avoidance","withstand","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","shorter","Preferred"
"Drought Avoidance","maturity","Preferred"
"Drought Avoidance","periods","Preferred"
"Nutritious","high","Preferred"
"Nutritious","nutrition","Preferred"
"Nutritious","value","Preferred"
"Nutritious","ready","Preferred"
"Nutritious","market","Preferred"
"Home Use & Family Consumption","shorter","Preferred"
"Home Use & Family Consumption","maturity","Preferred"
"Home Use & Family Consumption","periods","Preferred"
"Feed & Fodder","uses","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Home Use & Family Consumption","good","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","uses","Preferred"
"Intercropping","good","Preferred"
"Intercropping","harvest","Preferred"
"Intercropping","less","Preferred"
"Intercropping","input","Preferred"
"Intercropping","uses","Preferred"
"Drought Avoidance","ability","Preferred"
"Drought Avoidance","withstand","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","good","Preferred"
"Drought Avoidance","quality","Preferred"
"Drought Avoidance","maize","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","contents","Preferred"
"Nutritious","withstand","Preferred"
"Nutritious","drought","Preferred"
"Nutritious","disease","Preferred"
"Nutritious","moderately","Preferred"
"Drought Avoidance","withstand","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","harvest","Preferred"
"Drought Avoidance","incase","Preferred"
"Drought Avoidance","theres","Preferred"
"Drought Avoidance","drought","Preferred"
"Feed & Fodder","useful","Preferred"
"Feed & Fodder","farmers","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","large","Preferred"
"Home Use & Family Consumption","good","Preferred"
"Home Use & Family Consumption","taste","Preferred"
"Feed & Fodder","relatively","Preferred"
"Feed & Fodder","higher","Preferred"
"Feed & Fodder","rainfall","Preferred"
"Feed & Fodder","yield","Preferred"
"Feed & Fodder","moderate","Preferred"
"Feed & Fodder","fertilizer","Preferred"
"Feed & Fodder","requirement","Preferred"
"Nutritious","presence","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","moderate","Preferred"
"Nutritious","rainfall","Preferred"
"Nutritious","yield","Preferred"
"Resilient","high","Preferred"
"Resilient","resistant","Preferred"
"Resilient","disease","Preferred"
"Resilient","drought","Preferred"
"Resilient","low","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","requirement","Preferred"
"Resilient","shorter","Preferred"
"Resilient","duration","Preferred"
"Resilient","maturity","Preferred"
"Drought Avoidance","high","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","drought","Preferred"
"Intercropping","less","Preferred"
"Intercropping","fertilizer","Preferred"
"Intercropping","requirement","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","human","Preferred"
"Feed & Fodder","livestock","Preferred"
"Resilient","resistant","Preferred"
"Resilient","pests","Preferred"
"Resilient","disease","Preferred"
"Feed","livestock","Preferred"
"Feed","human","Preferred"
"Feed","consumption","Preferred"
"Drought Avoidance","weather","Preferred"
"Drought Avoidance","nowadays","Preferred"
"Drought Avoidance","predicted","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","better","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","disease","Preferred"
"Drought Avoidance","drought","Preferred"
"Intercropping","intercrop","Preferred"
"Home Use & Family Consumption","meet","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","food","Preferred"
"Home Use & Family Consumption","requirement","Preferred"
"Home Use & Family Consumption","solely","Preferred"
"Home Use & Family Consumption","purpose","Preferred"
"Feed","multipurpose","Preferred"
"Feed","uses","Preferred"
"Feed","human","Preferred"
"Feed","livestock","Preferred"
"Feed","consumption","Preferred"
"Resilient","adaptable","Preferred"
"Resilient","different","Preferred"
"Resilient","weather","Preferred"
"Resilient","conditions","Preferred"
"Intercropping","nutrient","Preferred"
"Intercropping","soil","Preferred"
"Resilient","food","Preferred"
"Resilient","firstthe","Preferred"
"Resilient","priority","Preferred"
"Resilient","food","Preferred"
"Home Use & Family Consumption","fodder","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Feed & Fodder","human","Preferred"
"Feed & Fodder","consumption","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed","high","Preferred"
"Feed","expectation","Preferred"
"Feed","profits","Preferred"
"Drought Avoidance","early","Preferred"
"Drought Avoidance","harvest","Preferred"
"Intercropping","intercrop","Preferred"
"Intercropping","double","Preferred"
"Intercropping","harvest","Preferred"
"Intercropping","intercrop","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","tolerate","Preferred"
